ri1,ro1,ri2,ro2,ri3,ro3,rot1,rot2,x1
0,18,31,37,47,56,93,53,17
0,8,25,36,48,57,126,40,15
0,5,17,22,42,54,62,34,7
0,7,24,34,45,51,69,56,20
0,9,22,30,44,52,161,165,6
0,7,21,34,46,59,71,101,5
0,8,21,29,40,56,159,37,5
0,5,21,30,43,59,111,38,13
0,18,28,34,49,58,134,82,15
0,8,18,23,44,59,98,113,11
0,22,32,39,53,60,120,43,6
0,14,24,33,47,56,169,94,7
0,5,17,25,36,55,145,56,13
0,6,32,38,55,60,91,149,15
0,6,17,22,37,50,118,124,10
0,7,22,35,51,56,118,41,13
0,12,24,35,45,54,127,16,5
0,9,22,35,46,52,90,51,8
0,7,19,39,52,58,130,123,28
0,5,23,28,49,54,77,33,11
0,11,33,38,50,56,92,147,12
0,7,21,26,36,44,69,19,5
0,6,21,39,49,59,105,27,10
0,7,28,33,47,52,56,18,7
0,7,17,30,40,52,128,37,7
0,7,20,25,46,60,64,32,10
0,9,21,38,52,57,84,35,13
0,5,17,32,42,53,89,81,23
0,6,17,26,38,54,151,138,16
0,10,26,34,44,51,64,157,10
0,8,18,31,42,58,166,144,5
0,9,25,31,45,50,62,58,5
0,8,20,29,47,52,123,43,13
0,6,17,27,40,49,159,28,7
0,11,22,36,48,58,84,39,10
0,16,31,39,49,54,174,74,20
0,18,28,34,44,56,133,168,16
0,7,21,34,47,57,165,77,13
0,9,28,37,50,55,118,46,16
0,9,20,30,43,52,82,103,14
0,8,22,28,50,60,115,131,8
0,5,15,31,41,60,76,104,18
0,12,23,36,47,55,126,89,10
0,7,27,39,52,60,60,76,10
0,5,22,33,44,57,117,35,11
0,7,20,27,43,60,74,74,16
0,11,21,30,44,55,151,21,6
0,6,18,29,39,60,138,57,9
0,11,32,41,55,60,110,115,22
0,10,24,33,47,54,168,75,18
0,5,19,41,53,59,120,13,5
0,7,20,29,54,60,105,33,11
0,12,24,34,48,53,80,38,13
0,9,30,39,50,60,107,35,14
0,8,18,36,48,55,73,58,14
0,7,32,38,53,59,59,83,6
0,6,22,27,42,55,142,45,7
0,7,19,27,41,59,87,136,14
0,9,23,35,49,55,60,107,21
0,5,17,27,39,54,75,154,17
0,9,33,39,54,59,66,106,15
0,6,17,29,45,59,73,83,10
0,7,17,26,37,45,147,97,15
0,6,26,34,46,52,45,96,16
0,5,21,28,38,55,59,62,9
0,11,30,35,48,58,90,129,6
0,6,32,39,51,56,53,67,11
0,6,28,36,48,60,49,46,8
0,5,32,44,54,59,63,108,28
0,5,30,36,50,60,66,88,11
0,13,31,39,49,57,147,33,10
0,14,30,35,48,57,144,151,10
0,8,22,32,45,56,116,31,10
0,10,27,35,53,58,165,38,13
0,10,25,31,45,58,105,108,14
0,9,28,41,52,57,169,90,13
0,5,21,32,46,60,87,82,8
0,6,16,22,36,51,101,36,9
0,12,36,44,55,60,105,21,5
0,12,26,43,53,59,139,24,9
0,16,29,37,50,56,142,50,15
0,7,31,39,49,56,34,90,10
0,8,30,36,48,56,58,24,8
0,11,24,32,50,55,140,52,5
0,6,16,24,42,58,159,126,13
0,7,30,39,49,55,126,61,11
0,10,23,28,49,59,97,32,9
0,7,20,29,41,48,147,99,10
0,5,17,30,44,60,150,81,20
0,6,20,32,42,53,72,80,5
0,12,28,33,46,57,135,88,13
0,9,21,27,38,55,173,22,6
0,11,33,41,51,56,134,46,9
0,9,28,36,49,58,131,32,11
0,6,27,35,52,59,63,96,17
0,17,28,39,49,59,173,22,5
0,5,17,24,46,60,101,26,7
0,8,26,35,47,54,60,79,17
0,9,31,36,46,57,169,55,10
0,7,21,29,52,57,72,75,11
0,7,21,32,44,53,141,126,14
0,7,30,38,52,58,141,151,14
0,7,20,34,46,55,109,139,17
0,5,23,32,49,55,115,24,10
